message_id,allocation_date,authorized_customer_id,raw_message,message_difficulty,split,message_hash_sha256
M000001,2025-01-01,C001,"Please deliver 12 box tomatoes grade A, no substitutes; also 8 kg lett grade A, no substitutes; also 9 box strawberries grade A, no substitutes; also 15 kg capsicum grade B, no substitutes on 2025-01-01. Customer ref C001.",standard,development,edd9e3419fe5f24c4c64ab6fe11b7a34ce90e1d74a9f25a3bb8f0408421354a2
M000002,2025-01-01,C002,"Amendment - need 4 box cucumbers grade B, substitution OK; also 4 box strawberries grade A, no substitutes; also 15 kg bell pepper grade A, no substitutes; also 27 kg car grade B, substitution OK for 01/01; same delivery slot. Ref 02",hard,development,993e6cb3f021ed49daa6ffea4eac14d04c3cb398b6a1d36fd29be295c96b11bd
M000003,2025-01-01,C003,"Please deliver 54 kg lettuce grade B, substitution OK; also 8 kg spin grade B, substitution OK; also 45 kg broc grade A, no substitutes on 2025-01-01. Customer ref C003.",standard,development,f3f287b0a86442554a04609bd23128e80073240778924192127ea5ebbf60dd5a
M000004,2025-01-01,C004,"Hi team pls arrange 23 kg bell pepper grade A, no substitutes for 01/01; call if any issue. Ref 04",hard,development,0c79cc039b3b41721d8b100d405f10501f2e9504e1cd61133db9cd575a2ea0b9
M000005,2025-01-01,C005,"Please deliver 6 box tomatoes grade B, substitution OK; also 25 kg spin grade A, no substitutes; also 69 kg carrots grade A, no substitutes on 2025-01-01. Customer ref C005.",standard,development,8b494cc3268b90c5475eeaf8972c9df1a402c94ab1a7fdba6e3f82e6b5765113
M000006,2025-01-01,C006,"Please deliver 4 kg capsicum grade A, no substitutes on 2025-01-01. Customer ref C006.",standard,development,7e8e6359f04f313b3f2ece125659255ccd22ec05e4ac06acc6caf7564dd721bc
M000007,2025-01-01,C007,"Morning, can u send 10 kg tomato grade B, substitution OK for 01/01; same delivery slot. Ref 07",hard,development,54cd4d908386a3f46ed4a67c308acd0b876426a977d112ea63f56001064fc571
M000008,2025-01-01,C008,"Hi team pls arrange 22 kg cucumbers grade A, no substitutes; also 4 kg brocc grade A, substitution OK for 01/01; call if any issue. Ref 08",hard,development,2753e8f3a3fcae63451950b02dcc5adc3b20c0bfa1ce8b0a9ec92d1e0cab978a
M000009,2025-01-01,C009,"Morning, can u send 12 box tomatoes grade A, no substitutes for 01/01; confirm asap. Ref 09",hard,development,6ba7370d7d2080b7963fb31501dcc1262b1a2af55e0467e09da62205a1799a25
M000010,2025-01-01,C010,"Please deliver 16 kg berries grade A, no substitutes; also 11 kg spinach grade A, no substitutes; also 18 kg brocc grade A, no substitutes on 2025-01-01. Customer ref C010.",standard,development,16bd1cd67be491f39896c7bc05381681098ec43b02f4451095275c8e14ec2371
